Date Occurred,Victim Sex,Latitude,Longitude,Ethnicity
2018-07-02,M,33.9556,-118.2673,Black
2014-08-11,M,34.103,-118.3072,White
2017-11-30,M,34.1685,-118.5778,Other/Unknown
2018-06-06,F,34.0587,-118.3681,Other/Unknown
2010-01-08,M,33.9748,-118.2586,Black
2014-01-04,F,34.1593,-118.5011,Hispanic
2019-01-05,F,33.9551,-118.2869,Hispanic
2015-04-27,M,34.0579,-118.2553,Black
2014-09-07,F,34.2156,-118.5994,Other/Unknown
2012-10-15,F,34.1058,-118.3289,Black
2014-12-12,M,34.0589,-118.2323,Hispanic
2010-07-07,F,34.0099,-118.3138,Hispanic
2011-10-03,F,34.2012,-118.4432,Hispanic
2018-08-26,F,33.8648,-118.2931,Other/Unknown
2013-01-08,M,34.0242,-118.2172,Hispanic
2017-04-08,M,34.1938,-118.5884,Hispanic
2015-04-02,F,34.0515,-118.3842,White
2014-10-27,M,33.9916,-118.2652,White
2014-03-18,M,34.0511,-118.2707,White
2010-07-03,M,34.0691,-118.2967,White
2011-06-07,F,34.0246,-118.3002,Black
2017-01-20,M,34.0639,-118.3276,Hispanic
2010-01-01,M,34.1763,-118.3965,White
2019-09-05,F,33.9637,-118.3003,Black
2018-02-27,M,34.0325,-118.3509,Black
2011-10-12,M,33.9746,-118.2914,Black
2012-09-15,M,34.1952,-118.4487,Hispanic
2017-01-07,M,33.9722,-118.394,Other/Unknown
2017-11-29,F,34.2048,-118.4662,Other/Unknown
2019-11-05,F,34.0296,-118.2322,Hispanic
2018-08-03,F,34.2215,-118.4634,Other/Unknown
2012-11-20,M,34.3129,-118.4373,Hispanic
2013-12-28,M,34.1866,-118.5448,Hispanic
2019-10-02,F,34.1911,-118.3718,Hispanic
2012-06-09,M,34.2355,-118.5448,Other/Unknown
2017-12-14,F,34.0608,-118.2842,Other/Unknown
2017-06-04,F,34.166,-118.6082,White
2014-10-26,F,34.03,-118.447,Other/Unknown
2017-02-23,F,33.995,-118.3322,Black
2013-01-17,F,33.9978,-118.4043,White
2018-01-18,F,33.9423,-118.2916,Asian
2010-06-16,M,34.0458,-118.2009,Hispanic
2011-01-20,M,34.25,-118.6061,Hispanic
2017-06-13,M,34.0322,-118.2622,Asian
2018-12-01,M,34.0496,-118.3425,Hispanic
2018-06-05,M,33.9274,-118.2871,Black
2012-11-05,M,34.0412,-118.3813,White
2011-01-29,F,34.0314,-118.4007,White
2014-02-20,M,34.0565,-118.2071,Black
2016-12-27,M,34.0037,-118.3089,Hispanic
2011-05-25,M,33.9295,-118.2543,Black
2016-08-17,F,34.0038,-118.2827,Hispanic
2016-04-23,M,34.0726,-118.2578,White
2018-03-29,M,33.9994,-118.2499,Hispanic
2014-01-15,M,34.1938,-118.6059,Asian
2019-03-14,M,34.0303,-118.4133,Other/Unknown
2015-10-21,M,34.127,-118.3792,White
2017-06-28,F,34.0262,-118.444,Asian
2013-06-21,M,34.0944,-118.355,White
2017-12-07,M,34.0476,-118.3245,Hispanic
2011-03-18,F,33.9946,-118.42,Hispanic
2011-11-30,M,34.0868,-118.3078,White
2015-10-12,F,33.9473,-118.2652,Hispanic
2017-08-26,F,34.25,-118.2909,Hispanic
2011-08-05,M,34.0359,-118.2648,Other/Unknown
2016-08-16,F,34.2012,-118.4444,Hispanic
2010-10-20,M,34.036,-118.2242,Hispanic
2017-12-14,F,34.25,-118.5886,White
2012-02-16,M,34.0636,-118.4483,White
2014-01-17,M,33.9966,-118.2652,Hispanic
2015-02-19,M,34.0171,-118.2794,White
2017-11-28,M,34.167,-118.6424,Other/Unknown
