Date Occurred,Victim Sex,MO Codes,Latitude,Longitude,Ethnicity
2012-12-29,M,3025 3035 3036 3801 3004 3006 3101 3401 3701 4026,34.2421,-118.4261,Hispanic
2012-11-17,F,3025 3801 4026 3701 3401 3101 3034 3037 3011,34.171,-118.5709,White
2013-10-21,M,4027 3004 3026 3035 3037 3101 3401 3701 3801,34.0981,-118.3615,White
2013-07-10,M,4027 3004 3025 3037 3035 3101 3401 3701 3801,34.0907,-118.3374,White
2013-07-15,M,4027 3007 3035 3037 3101 3401 3701 3801,34.0908,-118.3136,Hispanic
2013-06-09,F,4027 3011 3034 3801 3037 3101 3401 3701,34.1197,-118.3755,White
2013-07-12,F,4027 3006 3030 3037 3801 3035 3101 3401 3701,34.0835,-118.3124,White
2013-07-08,M,4027 3004 3026 3029 3035 3036 3101 3401 3701 3801,34.0908,-118.3109,Hispanic
2013-06-12,F,4027 3004 3035 3036 3101 3401 3701 3801,34.069,-118.3259,Asian
2013-05-27,F,4027 3004 3035 3037 3101 3401 3701 3801,34.0761,-118.3765,White
2013-05-21,M,4027 3006 3026 3034 3037 3101 3401 3701 3801,34.0856,-118.3614,White
2013-06-08,F,4027 3006 3025 3029 3035 3037 3101 3401 3701 3801,34.0557,-118.3405,White
2013-05-26,M,0605 0110 4027 3004 3035 3037 3101 3401 3701 3801,34.0888,-118.3764,Black
2013-06-05,M,4027 3006 3025 3035 3037 3101 3401 3701 3801,34.0546,-118.3466,Black
2013-06-22,M,4027 3006 3035 3037 3101 3401 3701 3801 0605 0110,34.0624,-118.3514,Hispanic
2013-06-09,M,4027 3004 3035 3036 3401 3701 3801 3030 3101,34.0615,-118.3681,Black
2013-07-21,M,4007 3004 3011 3026 3035 3037 3101 3401 3701 3801,34.0399,-118.3201,White
2013-06-22,M,4027 3004 3801 3035 3036 3101 3401 3701,34.0498,-118.4215,White
2013-07-19,M,4027 3006 3035 3037 3101 3401 3701 3801,34.0598,-118.4327,White
2013-09-15,M,4008 3006 3035 3037 3101 3401 3701 3801 1402 0605,34.1089,-118.4467,Black
2013-10-07,M,4027 3011 3034 3037 3101 3401 3701 3801,34.1078,-118.4863,Other/Unknown
2013-03-23,M,4014 3011 3801 3035 3036 3101 3401 3701,34.0029,-118.4628,White
2013-05-01,F,0605 3801 4014 3006 3035 3037 3101 3401 3701,34.0044,-118.4518,White
2013-05-12,M,4027 3004 3801 3035 3037 3101 3401 3701,33.994,-118.4526,Hispanic
2013-07-14,M,4027 3011 3034 3025 3037 3101 3401 3701 3801,33.9905,-118.4478,Hispanic
2013-06-21,M,4014 3004 3030 3034 3037 3101 3401 3701 3801,33.983,-118.438,Other/Unknown
2013-10-18,F,4027 3004 3025 3034 3037 3101 3401 3701 3801,33.985,-118.4066,Hispanic
2013-06-08,M,4014 3008 3035 3037 3101 3701 3801 3025 3401,33.9921,-118.4757,White
2013-06-01,F,3801 4015 0605 3011 3028 3034 3037 3101 3401 3701,34.2006,-118.3965,Black
2013-06-01,M,3006 3801 4015 0605 3028 3035 3037 3101 3401 3701,34.1851,-118.3604,Hispanic
2013-02-13,F,3004 3011 3025 3034 3101 3401 3701 3801 4026,34.2471,-118.3575,White
2013-04-11,F,3011 3028 3034 3037 3401 3701 3801 4026 3101,34.2647,-118.4935,Hispanic
2013-04-05,F,3004 3025 3035 3036 3801 4026 3101 3401 3701,34.2499,-118.4299,Hispanic
2013-06-09,M,4027 3004 3037 3101 3401 3701 3801 3025,34.0636,-118.2929,Hispanic
2013-06-30,F,4027 3004 3026 3035 3037 3101 3401 3701 3801,34.0712,-118.3091,White
2013-07-07,M,3035 3037 3101 3401 3701 3801 4027 3004,34.0636,-118.3054,Asian
2013-10-22,M,4027 3006 3035 3037 3101 3401 3701 3801,34.0581,-118.3112,Hispanic
2013-09-25,M,4027 3006 3035 3037 3101 3401 3701 3801,34.0763,-118.303,White
